orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_G11.MAA000526.3_9_M.1.1	Smart-seq2	516464	1683	FB_alveolar
lung_SmartSeq2_Smart-seq2_D9.MAA000526.3_9_M.1.1	Smart-seq2	767639	2984	Endo_LEC
lung_SmartSeq2_Smart-seq2_E19.MAA000526.3_9_M.1.1	Smart-seq2	1289878	3133	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_G10.MAA000526.3_9_M.1.1	Smart-seq2	1027251	2911	FB_adventitial
lung_SmartSeq2_Smart-seq2_I1.MAA000526.3_9_M.1.1	Smart-seq2	523719	2173	Endo_capillary
lung_SmartSeq2_Smart-seq2_J9.MAA000526.3_9_M.1.1	Smart-seq2	550330	1983	Endo_LEC
lung_SmartSeq2_Smart-seq2_I2.MAA000526.3_9_M.1.1	Smart-seq2	541093	2498	Endo_LEC
lung_SmartSeq2_Smart-seq2_A13.MAA000526.3_9_M.1.1	Smart-seq2	1786007	3878	FB_adventitial
lung_SmartSeq2_Smart-seq2_C3.MAA000526.3_9_M.1.1	Smart-seq2	864404	2360	Epi_AT2
lung_SmartSeq2_Smart-seq2_D11.MAA000526.3_9_M.1.1	Smart-seq2	647073	2812	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_F2.MAA000526.3_9_M.1.1	Smart-seq2	1244056	3998	FB_adventitial
lung_SmartSeq2_Smart-seq2_G13.MAA000526.3_9_M.1.1	Smart-seq2	1011615	2835	FB_adventitial
lung_SmartSeq2_Smart-seq2_J10.MAA000526.3_9_M.1.1	Smart-seq2	1616326	3852	FB_adventitial
lung_SmartSeq2_Smart-seq2_I3.MAA000526.3_9_M.1.1	Smart-seq2	750953	1749	Epi_AT2
lung_SmartSeq2_Smart-seq2_J11.MAA000526.3_9_M.1.1	Smart-seq2	704571	3612	FB_adventitial
lung_SmartSeq2_Smart-seq2_L5.MAA000526.3_9_M.1.1	Smart-seq2	241666	1181	Epi_AT2
lung_SmartSeq2_Smart-seq2_L4.MAA000526.3_9_M.1.1	Smart-seq2	651811	2041	Endo_capillary
lung_SmartSeq2_Smart-seq2_M18.MAA000526.3_9_M.1.1	Smart-seq2	504150	2068	FB_adventitial
lung_SmartSeq2_Smart-seq2_O7.MAA000526.3_9_M.1.1	Smart-seq2	512668	2295	Endo_capillary
lung_SmartSeq2_Smart-seq2_P12.MAA000526.3_9_M.1.1	Smart-seq2	946416	3510	FB_adventitial
lung_SmartSeq2_Smart-seq2_M19.MAA000526.3_9_M.1.1	Smart-seq2	653579	2567	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_C4.MAA000526.3_9_M.1.1	Smart-seq2	1042110	3752	Epi_AT2
lung_SmartSeq2_Smart-seq2_D12.MAA000526.3_9_M.1.1	Smart-seq2	705477	2373	FB_adventitial
lung_SmartSeq2_Smart-seq2_F3.MAA000526.3_9_M.1.1	Smart-seq2	789177	3753	Epi_AT2
lung_SmartSeq2_Smart-seq2_G14.MAA000526.3_9_M.1.1	Smart-seq2	752172	3133	FB_adventitial
lung_SmartSeq2_Smart-seq2_I5.MAA000526.3_9_M.1.1	Smart-seq2	905958	5160	Epi_ciliated
lung_SmartSeq2_Smart-seq2_O8.MAA000526.3_9_M.1.1	Smart-seq2	274790	1485	Endo_LEC
lung_SmartSeq2_Smart-seq2_J13.MAA000526.3_9_M.1.1	Smart-seq2	553172	1917	FB_adventitial
lung_SmartSeq2_Smart-seq2_L6.MAA000526.3_9_M.1.1	Smart-seq2	977896	3624	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_P13.MAA000526.3_9_M.1.1	Smart-seq2	1037612	3782	FB_adventitial
lung_SmartSeq2_Smart-seq2_A14.MAA000526.3_9_M.1.1	Smart-seq2	247342	1216	FB_alveolar
lung_SmartSeq2_Smart-seq2_A17.MAA000526.3_9_M.1.1	Smart-seq2	593086	1558	Endo_LEC
lung_SmartSeq2_Smart-seq2_C6.MAA000526.3_9_M.1.1	Smart-seq2	483988	1847	Endo_capillary
lung_SmartSeq2_Smart-seq2_D13.MAA000526.3_9_M.1.1	Smart-seq2	683730	2164	FB_adventitial
lung_SmartSeq2_Smart-seq2_F4.MAA000526.3_9_M.1.1	Smart-seq2	1475305	5968	Epi_ciliated
lung_SmartSeq2_Smart-seq2_G17.MAA000526.3_9_M.1.1	Smart-seq2	397350	1603	Endo_capillary
lung_SmartSeq2_Smart-seq2_I6.MAA000526.3_9_M.1.1	Smart-seq2	629808	2605	Endo_venous
lung_SmartSeq2_Smart-seq2_M21.MAA000526.3_9_M.1.1	Smart-seq2	546441	2312	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_J19.MAA000526.3_9_M.1.1	Smart-seq2	868295	1937	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_L7.MAA000526.3_9_M.1.1	Smart-seq2	579086	2283	Endo_capillary
lung_SmartSeq2_Smart-seq2_O9.MAA000526.3_9_M.1.1	Smart-seq2	658389	2689	Endo_LEC
lung_SmartSeq2_Smart-seq2_N1.MAA000526.3_9_M.1.1	Smart-seq2	447625	2293	Endo_capillary
lung_SmartSeq2_Smart-seq2_A19.MAA000526.3_9_M.1.1	Smart-seq2	498518	1781	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_C7.MAA000526.3_9_M.1.1	Smart-seq2	410967	3715	Endo_capillary
lung_SmartSeq2_Smart-seq2_D14.MAA000526.3_9_M.1.1	Smart-seq2	1710512	4038	FB_adventitial
lung_SmartSeq2_Smart-seq2_F5.MAA000526.3_9_M.1.1	Smart-seq2	900952	2201	Endo_LEC
lung_SmartSeq2_Smart-seq2_G19.MAA000526.3_9_M.1.1	Smart-seq2	451143	1881	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_I7.MAA000526.3_9_M.1.1	Smart-seq2	445169	1530	Endo_capillary
lung_SmartSeq2_Smart-seq2_J21.MAA000526.3_9_M.1.1	Smart-seq2	707495	2032	NK
lung_SmartSeq2_Smart-seq2_O10.MAA000526.3_9_M.1.1	Smart-seq2	400307	2125	FB_alveolar
lung_SmartSeq2_Smart-seq2_L8.MAA000526.3_9_M.1.1	Smart-seq2	469114	2097	Endo_LEC
lung_SmartSeq2_Smart-seq2_N2.MAA000526.3_9_M.1.1	Smart-seq2	1001993	3019	Pericyte
lung_SmartSeq2_Smart-seq2_O11.MAA000526.3_9_M.1.1	Smart-seq2	469144	2041	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_F6.MAA000526.3_9_M.1.1	Smart-seq2	389535	1687	Endo_capillary
lung_SmartSeq2_Smart-seq2_G20.MAA000526.3_9_M.1.1	Smart-seq2	527842	2112	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_I9.MAA000526.3_9_M.1.1	Smart-seq2	342038	2172	Endo_LEC
lung_SmartSeq2_Smart-seq2_K1.MAA000526.3_9_M.1.1	Smart-seq2	469683	2297	Endo_capillary
lung_SmartSeq2_Smart-seq2_L10.MAA000526.3_9_M.1.1	Smart-seq2	1290776	3331	FB_adventitial
lung_SmartSeq2_Smart-seq2_A20.MAA000526.3_9_M.1.1	Smart-seq2	281439	1411	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_C8.MAA000526.3_9_M.1.1	Smart-seq2	608194	2927	Endo_arterial
lung_SmartSeq2_Smart-seq2_N3.MAA000526.3_9_M.1.1	Smart-seq2	346054	1592	Endo_capillary
lung_SmartSeq2_Smart-seq2_A21.MAA000526.3_9_M.1.1	Smart-seq2	541072	1641	Bcell
lung_SmartSeq2_Smart-seq2_C9.MAA000526.3_9_M.1.1	Smart-seq2	868698	3401	Endo_arterial
lung_SmartSeq2_Smart-seq2_D19.MAA000526.3_9_M.1.1	Smart-seq2	1230481	2714	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_F8.MAA000526.3_9_M.1.1	Smart-seq2	767456	2469	Endo_arterial
lung_SmartSeq2_Smart-seq2_G21.MAA000526.3_9_M.1.1	Smart-seq2	369027	1287	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_O12.MAA000526.3_9_M.1.1	Smart-seq2	586821	2710	FB_peribronchiolar
