orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_H12.MAA000526.3_9_M.1.1	Smart-seq2	1459857	3974	FB_adventitial
lung_SmartSeq2_Smart-seq2_J2.MAA000526.3_9_M.1.1	Smart-seq2	936367	3478	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_M8.MAA000526.3_9_M.1.1	Smart-seq2	715486	2460	Endo_arterial
lung_SmartSeq2_Smart-seq2_N22.MAA000526.3_9_M.1.1	Smart-seq2	207395	782	Neutrophil
lung_SmartSeq2_Smart-seq2_P5.MAA000526.3_9_M.1.1	Smart-seq2	81901	614	Epi_AT2
lung_SmartSeq2_Smart-seq2_A5.MAA000526.3_9_M.1.1	Smart-seq2	414475	2458	Endo_LEC
lung_SmartSeq2_Smart-seq2_B10.MAA000526.3_9_M.1.1	Smart-seq2	844068	2339	FB_adventitial
lung_SmartSeq2_Smart-seq2_H13.MAA000526.3_9_M.1.1	Smart-seq2	1307468	4228	FB_adventitial
lung_SmartSeq2_Smart-seq2_J3.MAA000526.3_9_M.1.1	Smart-seq2	504726	2689	Epi_ciliated
lung_SmartSeq2_Smart-seq2_M9.MAA000526.3_9_M.1.1	Smart-seq2	562520	2240	Endo_LEC
lung_SmartSeq2_Smart-seq2_O1.MAA000526.3_9_M.1.1	Smart-seq2	340207	1987	Endo_capillary
lung_SmartSeq2_Smart-seq2_P6.MAA000526.3_9_M.1.1	Smart-seq2	339931	2163	Endo_capillary
lung_SmartSeq2_Smart-seq2_A6.MAA000526.3_9_M.1.1	Smart-seq2	502080	2104	Endo_capillary
lung_SmartSeq2_Smart-seq2_B11.MAA000526.3_9_M.1.1	Smart-seq2	1610086	4163	FB_adventitial
lung_SmartSeq2_Smart-seq2_D3.MAA000526.3_9_M.1.1	Smart-seq2	885288	4121	Epi_AT2
lung_SmartSeq2_Smart-seq2_E10.MAA000526.3_9_M.1.1	Smart-seq2	1251469	3122	FB_adventitial
lung_SmartSeq2_Smart-seq2_G5.MAA000526.3_9_M.1.1	Smart-seq2	713282	3165	FB_adventitial
lung_SmartSeq2_Smart-seq2_A12.MAA000530.3_8_M.1.1	Smart-seq2	1338482	3367	FB_adventitial
lung_SmartSeq2_Smart-seq2_B19.MAA000530.3_8_M.1.1	Smart-seq2	480028	1985	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_A14.MAA000530.3_8_M.1.1	Smart-seq2	978227	3068	FB_adventitial
lung_SmartSeq2_Smart-seq2_A13.MAA000530.3_8_M.1.1	Smart-seq2	1146561	2834	FB_adventitial
lung_SmartSeq2_Smart-seq2_A18.MAA000530.3_8_M.1.1	Smart-seq2	595540	2027	Endo_capillary
lung_SmartSeq2_Smart-seq2_A19.MAA000530.3_8_M.1.1	Smart-seq2	551303	1855	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_A20.MAA000530.3_8_M.1.1	Smart-seq2	1001867	2535	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_A21.MAA000530.3_8_M.1.1	Smart-seq2	556179	1574	3
lung_SmartSeq2_Smart-seq2_A22.MAA000530.3_8_M.1.1	Smart-seq2	456296	1619	NK
lung_SmartSeq2_Smart-seq2_B1.MAA000530.3_8_M.1.1	Smart-seq2	864845	3299	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_B2.MAA000530.3_8_M.1.1	Smart-seq2	780484	2712	Endo_capillary
lung_SmartSeq2_Smart-seq2_B3.MAA000530.3_8_M.1.1	Smart-seq2	387209	2662	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_B4.MAA000530.3_8_M.1.1	Smart-seq2	961716	2570	Epi_AT2
lung_SmartSeq2_Smart-seq2_B6.MAA000530.3_8_M.1.1	Smart-seq2	727574	1881	Endo_capillary
lung_SmartSeq2_Smart-seq2_A1.MAA000530.3_8_M.1.1	Smart-seq2	548983	2419	Endo_capillary
lung_SmartSeq2_Smart-seq2_B7.MAA000530.3_8_M.1.1	Smart-seq2	595074	1389	Endo_capillary
lung_SmartSeq2_Smart-seq2_A2.MAA000530.3_8_M.1.1	Smart-seq2	859758	4184	Endo_venous
lung_SmartSeq2_Smart-seq2_B8.MAA000530.3_8_M.1.1	Smart-seq2	1614979	3920	FB_adventitial
lung_SmartSeq2_Smart-seq2_A3.MAA000530.3_8_M.1.1	Smart-seq2	1191735	3721	Epi_AT2
lung_SmartSeq2_Smart-seq2_B9.MAA000530.3_8_M.1.1	Smart-seq2	1235797	2333	Endo_arterial
lung_SmartSeq2_Smart-seq2_B10.MAA000530.3_8_M.1.1	Smart-seq2	1840619	3432	FB_adventitial
lung_SmartSeq2_Smart-seq2_A4.MAA000530.3_8_M.1.1	Smart-seq2	1612290	3063	Epi_AT2
lung_SmartSeq2_Smart-seq2_B11.MAA000530.3_8_M.1.1	Smart-seq2	1258418	2841	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_A6.MAA000530.3_8_M.1.1	Smart-seq2	1067172	2315	Endo_capillary
lung_SmartSeq2_Smart-seq2_B12.MAA000530.3_8_M.1.1	Smart-seq2	1684140	3361	FB_adventitial
lung_SmartSeq2_Smart-seq2_A7.MAA000530.3_8_M.1.1	Smart-seq2	246492	612	Endo_capillary
lung_SmartSeq2_Smart-seq2_A8.MAA000530.3_8_M.1.1	Smart-seq2	1217789	2900	Endo_LEC
lung_SmartSeq2_Smart-seq2_B13.MAA000530.3_8_M.1.1	Smart-seq2	424011	1422	FB_alveolar
lung_SmartSeq2_Smart-seq2_A9.MAA000530.3_8_M.1.1	Smart-seq2	973878	2712	Endo_LEC
lung_SmartSeq2_Smart-seq2_A10.MAA000530.3_8_M.1.1	Smart-seq2	1440412	3553	FB_adventitial
lung_SmartSeq2_Smart-seq2_B17.MAA000530.3_8_M.1.1	Smart-seq2	379596	1160	Endo_LEC
lung_SmartSeq2_Smart-seq2_B14.MAA000530.3_8_M.1.1	Smart-seq2	1324767	3643	FB_adventitial
lung_SmartSeq2_Smart-seq2_A11.MAA000530.3_8_M.1.1	Smart-seq2	1651021	1970	FB_adventitial
lung_SmartSeq2_Smart-seq2_B18.MAA000530.3_8_M.1.1	Smart-seq2	879396	2127	Endo_capillary
lung_SmartSeq2_Smart-seq2_D3.MAA000530.3_8_M.1.1	Smart-seq2	1286498	3768	Epi_ciliated
lung_SmartSeq2_Smart-seq2_E7.MAA000530.3_8_M.1.1	Smart-seq2	1312557	2320	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_F13.MAA000530.3_8_M.1.1	Smart-seq2	1217558	3424	FB_adventitial
lung_SmartSeq2_Smart-seq2_D4.MAA000530.3_8_M.1.1	Smart-seq2	937755	1883	Endo_venous
lung_SmartSeq2_Smart-seq2_H1.MAA000530.3_8_M.1.1	Smart-seq2	1144492	2514	FB_alveolar
lung_SmartSeq2_Smart-seq2_E8.MAA000530.3_8_M.1.1	Smart-seq2	679824	1304	Endo_LEC
lung_SmartSeq2_Smart-seq2_F14.MAA000530.3_8_M.1.1	Smart-seq2	1711226	3350	FB_adventitial
lung_SmartSeq2_Smart-seq2_H2.MAA000530.3_8_M.1.1	Smart-seq2	1451297	3149	Endo_capillary
lung_SmartSeq2_Smart-seq2_I8.MAA000530.3_8_M.1.1	Smart-seq2	740428	1491	Endo_LEC
lung_SmartSeq2_Smart-seq2_J21.MAA000530.3_8_M.1.1	Smart-seq2	1134808	2014	Bcell
lung_SmartSeq2_Smart-seq2_L7.MAA000530.3_8_M.1.1	Smart-seq2	859679	1974	Endo_capillary
lung_SmartSeq2_Smart-seq2_M12.MAA000530.3_8_M.1.1	Smart-seq2	1970388	4151	FB_adventitial
lung_SmartSeq2_Smart-seq2_N19.MAA000530.3_8_M.1.1	Smart-seq2	1402770	2839	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_P1.MAA000530.3_8_M.1.1	Smart-seq2	995613	3215	FB_alveolar
lung_SmartSeq2_Smart-seq2_I9.MAA000530.3_8_M.1.1	Smart-seq2	362090	1024	Endo_LEC
lung_SmartSeq2_Smart-seq2_B21.MAA000530.3_8_M.1.1	Smart-seq2	243681	1413	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_D5.MAA000530.3_8_M.1.1	Smart-seq2	616358	2084	Endo_capillary
lung_SmartSeq2_Smart-seq2_E9.MAA000530.3_8_M.1.1	Smart-seq2	658474	1419	Endo_arterial
lung_SmartSeq2_Smart-seq2_F17.MAA000530.3_8_M.1.1	Smart-seq2	1109639	2721	FB_adventitial
lung_SmartSeq2_Smart-seq2_H3.MAA000530.3_8_M.1.1	Smart-seq2	813470	2666	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_K1.MAA000530.3_8_M.1.1	Smart-seq2	1061453	2229	Endo_capillary
lung_SmartSeq2_Smart-seq2_I10.MAA000530.3_8_M.1.1	Smart-seq2	442012	1559	FB_adventitial
lung_SmartSeq2_Smart-seq2_K2.MAA000530.3_8_M.1.1	Smart-seq2	881653	3032	Endo_capillary
lung_SmartSeq2_Smart-seq2_L9.MAA000530.3_8_M.1.1	Smart-seq2	575006	1594	Endo_LEC
lung_SmartSeq2_Smart-seq2_L8.MAA000530.3_8_M.1.1	Smart-seq2	1021903	3081	Endo_LEC
lung_SmartSeq2_Smart-seq2_M13.MAA000530.3_8_M.1.1	Smart-seq2	1591614	3362	FB_adventitial
lung_SmartSeq2_Smart-seq2_N20.MAA000530.3_8_M.1.1	Smart-seq2	731053	2121	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_P2.MAA000530.3_8_M.1.1	Smart-seq2	904751	3261	Endo_capillary
lung_SmartSeq2_Smart-seq2_M16.MAA000530.3_8_M.1.1	Smart-seq2	878490	2350	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_D6.MAA000530.3_8_M.1.1	Smart-seq2	644582	1629	Endo_capillary
lung_SmartSeq2_Smart-seq2_E10.MAA000530.3_8_M.1.1	Smart-seq2	1369320	2445	FB_adventitial
lung_SmartSeq2_Smart-seq2_F18.MAA000530.3_8_M.1.1	Smart-seq2	759662	1805	Endo_capillary
lung_SmartSeq2_Smart-seq2_H4.MAA000530.3_8_M.1.1	Smart-seq2	919249	1916	DC_cDC2
lung_SmartSeq2_Smart-seq2_I11.MAA000530.3_8_M.1.1	Smart-seq2	2200083	3095	FB_adventitial
lung_SmartSeq2_Smart-seq2_K3.MAA000530.3_8_M.1.1	Smart-seq2	1630562	3439	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_L10.MAA000530.3_8_M.1.1	Smart-seq2	1681972	3657	FB_adventitial
lung_SmartSeq2_Smart-seq2_M17.MAA000530.3_8_M.1.1	Smart-seq2	1497476	3088	Endo_LEC
lung_SmartSeq2_Smart-seq2_N22.MAA000530.3_8_M.1.1	Smart-seq2	1404647	1723	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_N21.MAA000530.3_8_M.1.1	Smart-seq2	2242069	2459	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_P4.MAA000530.3_8_M.1.1	Smart-seq2	344324	1346	Endo_capillary
lung_SmartSeq2_Smart-seq2_P3.MAA000530.3_8_M.1.1	Smart-seq2	274149	1347	Endo_capillary
lung_SmartSeq2_Smart-seq2_B22.MAA000530.3_8_M.1.1	Smart-seq2	609218	1983	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_H5.MAA000530.3_8_M.1.1	Smart-seq2	688647	2731	Endo_LEC
lung_SmartSeq2_Smart-seq2_I12.MAA000530.3_8_M.1.1	Smart-seq2	1380514	2950	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_K4.MAA000530.3_8_M.1.1	Smart-seq2	381090	2392	Epi_ciliated
lung_SmartSeq2_Smart-seq2_L11.MAA000530.3_8_M.1.1	Smart-seq2	1004245	2078	Pericyte
lung_SmartSeq2_Smart-seq2_M18.MAA000530.3_8_M.1.1	Smart-seq2	745024	1776	Endo_capillary
lung_SmartSeq2_Smart-seq2_O1.MAA000530.3_8_M.1.1	Smart-seq2	1594591	4362	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_P5.MAA000530.3_8_M.1.1	Smart-seq2	644005	1862	Endo_capillary
lung_SmartSeq2_Smart-seq2_C1.MAA000530.3_8_M.1.1	Smart-seq2	1069382	2908	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_D7.MAA000530.3_8_M.1.1	Smart-seq2	600522	1512	Endo_capillary
lung_SmartSeq2_Smart-seq2_E11.MAA000530.3_8_M.1.1	Smart-seq2	1343863	2344	FB_adventitial
lung_SmartSeq2_Smart-seq2_F19.MAA000530.3_8_M.1.1	Smart-seq2	1512919	3050	DC_cDC2
lung_SmartSeq2_Smart-seq2_K5.MAA000530.3_8_M.1.1	Smart-seq2	1723089	3371	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_L12.MAA000530.3_8_M.1.1	Smart-seq2	1352631	3493	FB_adventitial
lung_SmartSeq2_Smart-seq2_M19.MAA000530.3_8_M.1.1	Smart-seq2	947997	3026	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_O2.MAA000530.3_8_M.1.1	Smart-seq2	603698	4063	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_P6.MAA000530.3_8_M.1.1	Smart-seq2	632366	2273	Endo_capillary
lung_SmartSeq2_Smart-seq2_C2.MAA000530.3_8_M.1.1	Smart-seq2	1011564	2579	FB_adventitial
lung_SmartSeq2_Smart-seq2_D8.MAA000530.3_8_M.1.1	Smart-seq2	923903	2248	DC_cDC1
lung_SmartSeq2_Smart-seq2_E12.MAA000530.3_8_M.1.1	Smart-seq2	1486413	3242	FB_adventitial
lung_SmartSeq2_Smart-seq2_F20.MAA000530.3_8_M.1.1	Smart-seq2	399626	1518	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_H6.MAA000530.3_8_M.1.1	Smart-seq2	837633	2510	Endo_capillary
lung_SmartSeq2_Smart-seq2_I13.MAA000530.3_8_M.1.1	Smart-seq2	1656927	4286	FB_adventitial
lung_SmartSeq2_Smart-seq2_K6.MAA000530.3_8_M.1.1	Smart-seq2	492012	1367	Endo_capillary
lung_SmartSeq2_Smart-seq2_L13.MAA000530.3_8_M.1.1	Smart-seq2	2282568	3604	FB_adventitial
lung_SmartSeq2_Smart-seq2_M21.MAA000530.3_8_M.1.1	Smart-seq2	786081	2073	Bcell
lung_SmartSeq2_Smart-seq2_O3.MAA000530.3_8_M.1.1	Smart-seq2	1527982	3206	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_P7.MAA000530.3_8_M.1.1	Smart-seq2	1005213	2749	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_D9.MAA000530.3_8_M.1.1	Smart-seq2	1167220	2844	Endo_LEC
lung_SmartSeq2_Smart-seq2_E13.MAA000530.3_8_M.1.1	Smart-seq2	281406	1195	FB_alveolar
lung_SmartSeq2_Smart-seq2_F21.MAA000530.3_8_M.1.1	Smart-seq2	849967	1794	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_H8.MAA000530.3_8_M.1.1	Smart-seq2	972673	2444	Endo_LEC
lung_SmartSeq2_Smart-seq2_I17.MAA000530.3_8_M.1.1	Smart-seq2	439348	1312	Endo_capillary
lung_SmartSeq2_Smart-seq2_C4.MAA000530.3_8_M.1.1	Smart-seq2	736383	2138	Epi_AT2
lung_SmartSeq2_Smart-seq2_M22.MAA000530.3_8_M.1.1	Smart-seq2	333771	941	Neutrophil
lung_SmartSeq2_Smart-seq2_O4.MAA000530.3_8_M.1.1	Smart-seq2	717644	2043	Epi_AT2
lung_SmartSeq2_Smart-seq2_P8.MAA000530.3_8_M.1.1	Smart-seq2	977288	2732	Endo_arterial
lung_SmartSeq2_Smart-seq2_D10.MAA000530.3_8_M.1.1	Smart-seq2	538143	3511	FB_adventitial
lung_SmartSeq2_Smart-seq2_C6.MAA000530.3_8_M.1.1	Smart-seq2	998509	2083	Endo_capillary
lung_SmartSeq2_Smart-seq2_E14.MAA000530.3_8_M.1.1	Smart-seq2	783030	3132	FB_adventitial
lung_SmartSeq2_Smart-seq2_F22.MAA000530.3_8_M.1.1	Smart-seq2	417181	1720	NK
lung_SmartSeq2_Smart-seq2_H9.MAA000530.3_8_M.1.1	Smart-seq2	1325685	2258	Endo_arterial
lung_SmartSeq2_Smart-seq2_I19.MAA000530.3_8_M.1.1	Smart-seq2	1278647	2589	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_K7.MAA000530.3_8_M.1.1	Smart-seq2	1493667	2809	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_L17.MAA000530.3_8_M.1.1	Smart-seq2	364566	1137	Endo_LEC
lung_SmartSeq2_Smart-seq2_D11.MAA000530.3_8_M.1.1	Smart-seq2	1269137	2942	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_N1.MAA000530.3_8_M.1.1	Smart-seq2	511526	1607	Endo_capillary
lung_SmartSeq2_Smart-seq2_O5.MAA000530.3_8_M.1.1	Smart-seq2	497562	1896	Endo_capillary
lung_SmartSeq2_Smart-seq2_P9.MAA000530.3_8_M.1.1	Smart-seq2	427597	2313	Endo_LEC
lung_SmartSeq2_Smart-seq2_H10.MAA000530.3_8_M.1.1	Smart-seq2	2054122	2688	FB_adventitial
lung_SmartSeq2_Smart-seq2_I20.MAA000530.3_8_M.1.1	Smart-seq2	896623	2483	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_K8.MAA000530.3_8_M.1.1	Smart-seq2	900124	2167	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_L18.MAA000530.3_8_M.1.1	Smart-seq2	1514841	3626	FB_adventitial
lung_SmartSeq2_Smart-seq2_N2.MAA000530.3_8_M.1.1	Smart-seq2	1181161	2850	FB_alveolar
lung_SmartSeq2_Smart-seq2_O6.MAA000530.3_8_M.1.1	Smart-seq2	395673	1283	Endo_capillary
lung_SmartSeq2_Smart-seq2_P10.MAA000530.3_8_M.1.1	Smart-seq2	608056	2427	FB_adventitial
lung_SmartSeq2_Smart-seq2_C7.MAA000530.3_8_M.1.1	Smart-seq2	737669	1938	FB_alveolar
lung_SmartSeq2_Smart-seq2_C8.MAA000530.3_8_M.1.1	Smart-seq2	400170	987	Endo_arterial
lung_SmartSeq2_Smart-seq2_E17.MAA000530.3_8_M.1.1	Smart-seq2	1206414	2721	Endo_LEC
lung_SmartSeq2_Smart-seq2_G2.MAA000530.3_8_M.1.1	Smart-seq2	673601	1786	Endo_capillary
lung_SmartSeq2_Smart-seq2_H11.MAA000530.3_8_M.1.1	Smart-seq2	2217961	3165	FB_adventitial
lung_SmartSeq2_Smart-seq2_I21.MAA000530.3_8_M.1.1	Smart-seq2	1125373	1676	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_K9.MAA000530.3_8_M.1.1	Smart-seq2	1479749	2420	Endo_capillary
lung_SmartSeq2_Smart-seq2_L19.MAA000530.3_8_M.1.1	Smart-seq2	1555077	2738	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_D13.MAA000530.3_8_M.1.1	Smart-seq2	1313145	3770	FB_adventitial
lung_SmartSeq2_Smart-seq2_O7.MAA000530.3_8_M.1.1	Smart-seq2	969445	2085	Endo_capillary
lung_SmartSeq2_Smart-seq2_P11.MAA000530.3_8_M.1.1	Smart-seq2	677762	2266	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_C9.MAA000530.3_8_M.1.1	Smart-seq2	575148	1400	Endo_LEC
lung_SmartSeq2_Smart-seq2_D14.MAA000530.3_8_M.1.1	Smart-seq2	747060	2692	FB_adventitial
lung_SmartSeq2_Smart-seq2_E19.MAA000530.3_8_M.1.1	Smart-seq2	883293	2527	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_E18.MAA000530.3_8_M.1.1	Smart-seq2	671107	1791	Endo_LEC
lung_SmartSeq2_Smart-seq2_G3.MAA000530.3_8_M.1.1	Smart-seq2	848251	3047	Epi_AT2
lung_SmartSeq2_Smart-seq2_I22.MAA000530.3_8_M.1.1	Smart-seq2	585005	1902	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_K11.MAA000530.3_8_M.1.1	Smart-seq2	826515	2280	FB_adventitial
lung_SmartSeq2_Smart-seq2_L20.MAA000530.3_8_M.1.1	Smart-seq2	934456	2442	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_N3.MAA000530.3_8_M.1.1	Smart-seq2	1040444	2448	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_G4.MAA000530.3_8_M.1.1	Smart-seq2	150678	597	Epi_AT2
lung_SmartSeq2_Smart-seq2_C10.MAA000530.3_8_M.1.1	Smart-seq2	1168646	2060	FB_adventitial
lung_SmartSeq2_Smart-seq2_D17.MAA000530.3_8_M.1.1	Smart-seq2	900009	1766	Endo_capillary
lung_SmartSeq2_Smart-seq2_E20.MAA000530.3_8_M.1.1	Smart-seq2	1018472	2442	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_G5.MAA000530.3_8_M.1.1	Smart-seq2	1013568	3264	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_H14.MAA000530.3_8_M.1.1	Smart-seq2	1170328	2563	FB_adventitial
lung_SmartSeq2_Smart-seq2_H17.MAA000530.3_8_M.1.1	Smart-seq2	1223001	2308	Endo_LEC
lung_SmartSeq2_Smart-seq2_J2.MAA000530.3_8_M.1.1	Smart-seq2	348334	850	Endo_capillary
lung_SmartSeq2_Smart-seq2_J1.MAA000530.3_8_M.1.1	Smart-seq2	731679	1839	Endo_capillary
lung_SmartSeq2_Smart-seq2_K12.MAA000530.3_8_M.1.1	Smart-seq2	1822910	3942	FB_adventitial
lung_SmartSeq2_Smart-seq2_L21.MAA000530.3_8_M.1.1	Smart-seq2	579470	1632	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_N4.MAA000530.3_8_M.1.1	Smart-seq2	642829	1950	Endo_capillary
lung_SmartSeq2_Smart-seq2_O8.MAA000530.3_8_M.1.1	Smart-seq2	849813	3424	Endo_LEC
lung_SmartSeq2_Smart-seq2_P12.MAA000530.3_8_M.1.1	Smart-seq2	424644	1888	Pericyte
lung_SmartSeq2_Smart-seq2_K13.MAA000530.3_8_M.1.1	Smart-seq2	1649472	3156	FB_adventitial
lung_SmartSeq2_Smart-seq2_C11.MAA000530.3_8_M.1.1	Smart-seq2	1406212	2677	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_D18.MAA000530.3_8_M.1.1	Smart-seq2	582266	1560	Endo_capillary
lung_SmartSeq2_Smart-seq2_E21.MAA000530.3_8_M.1.1	Smart-seq2	724291	1344	Bcell
lung_SmartSeq2_Smart-seq2_G6.MAA000530.3_8_M.1.1	Smart-seq2	652021	1563	Endo_capillary
lung_SmartSeq2_Smart-seq2_H18.MAA000530.3_8_M.1.1	Smart-seq2	1117210	1733	Endo_LEC
lung_SmartSeq2_Smart-seq2_J3.MAA000530.3_8_M.1.1	Smart-seq2	1274764	2620	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_K14.MAA000530.3_8_M.1.1	Smart-seq2	1248210	2321	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_L22.MAA000530.3_8_M.1.1	Smart-seq2	917497	1873	NK
lung_SmartSeq2_Smart-seq2_M1.MAA000530.3_8_M.1.1	Smart-seq2	848667	4439	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_N6.MAA000530.3_8_M.1.1	Smart-seq2	892045	1880	Endo_capillary
lung_SmartSeq2_Smart-seq2_O10.MAA000530.3_8_M.1.1	Smart-seq2	922779	2845	FB_adventitial
lung_SmartSeq2_Smart-seq2_N5.MAA000530.3_8_M.1.1	Smart-seq2	1062741	2367	Epi_AT2
lung_SmartSeq2_Smart-seq2_O9.MAA000530.3_8_M.1.1	Smart-seq2	851947	2595	Endo_LEC
lung_SmartSeq2_Smart-seq2_P13.MAA000530.3_8_M.1.1	Smart-seq2	1151681	3355	FB_adventitial
lung_SmartSeq2_Smart-seq2_G7.MAA000530.3_8_M.1.1	Smart-seq2	1555534	3070	Endo_capillary
lung_SmartSeq2_Smart-seq2_H19.MAA000530.3_8_M.1.1	Smart-seq2	788504	1975	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_J4.MAA000530.3_8_M.1.1	Smart-seq2	1433863	4817	Epi_ciliated
lung_SmartSeq2_Smart-seq2_K18.MAA000530.3_8_M.1.1	Smart-seq2	1016015	1995	Endo_capillary
lung_SmartSeq2_Smart-seq2_M2.MAA000530.3_8_M.1.1	Smart-seq2	956685	2964	Endo_capillary
lung_SmartSeq2_Smart-seq2_N7.MAA000530.3_8_M.1.1	Smart-seq2	1359292	2678	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_O11.MAA000530.3_8_M.1.1	Smart-seq2	1175922	3214	FB_adventitial
lung_SmartSeq2_Smart-seq2_P17.MAA000530.3_8_M.1.1	Smart-seq2	370666	1421	Endo_LEC
lung_SmartSeq2_Smart-seq2_C12.MAA000530.3_8_M.1.1	Smart-seq2	1851214	3366	FB_adventitial
lung_SmartSeq2_Smart-seq2_D19.MAA000530.3_8_M.1.1	Smart-seq2	954234	1891	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_E22.MAA000530.3_8_M.1.1	Smart-seq2	894174	1792	Bcell
lung_SmartSeq2_Smart-seq2_N8.MAA000530.3_8_M.1.1	Smart-seq2	703820	1771	Endo_LEC
lung_SmartSeq2_Smart-seq2_O12.MAA000530.3_8_M.1.1	Smart-seq2	1462094	3320	FB_peribronchiolar
lung_SmartSeq2_Smart-seq2_P18.MAA000530.3_8_M.1.1	Smart-seq2	564658	2320	Endo_LEC
lung_SmartSeq2_Smart-seq2_C14.MAA000530.3_8_M.1.1	Smart-seq2	682074	2591	FB_adventitial
lung_SmartSeq2_Smart-seq2_D21.MAA000530.3_8_M.1.1	Smart-seq2	375698	1520	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_C13.MAA000530.3_8_M.1.1	Smart-seq2	509643	2769	Pericyte
lung_SmartSeq2_Smart-seq2_D20.MAA000530.3_8_M.1.1	Smart-seq2	174477	1609	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_F1.MAA000530.3_8_M.1.1	Smart-seq2	1126752	2404	Endo_capillary
lung_SmartSeq2_Smart-seq2_G8.MAA000530.3_8_M.1.1	Smart-seq2	878481	1561	Endo_LEC
lung_SmartSeq2_Smart-seq2_H20.MAA000530.3_8_M.1.1	Smart-seq2	689516	1971	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_J5.MAA000530.3_8_M.1.1	Smart-seq2	1402722	3880	Epi_AT2
lung_SmartSeq2_Smart-seq2_K19.MAA000530.3_8_M.1.1	Smart-seq2	469979	2320	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_J6.MAA000530.3_8_M.1.1	Smart-seq2	381936	1404	Endo_capillary
lung_SmartSeq2_Smart-seq2_K20.MAA000530.3_8_M.1.1	Smart-seq2	572461	2808	Mo_Ly6Chi
lung_SmartSeq2_Smart-seq2_M4.MAA000530.3_8_M.1.1	Smart-seq2	1222117	2768	Endo_aerocyte
lung_SmartSeq2_Smart-seq2_N9.MAA000530.3_8_M.1.1	Smart-seq2	630454	1621	Endo_LEC
lung_SmartSeq2_Smart-seq2_F2.MAA000530.3_8_M.1.1	Smart-seq2	1108461	2816	Endo_capillary
lung_SmartSeq2_Smart-seq2_O13.MAA000530.3_8_M.1.1	Smart-seq2	1219122	3316	FB_adventitial
lung_SmartSeq2_Smart-seq2_P19.MAA000530.3_8_M.1.1	Smart-seq2	666434	2455	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_G10.MAA000530.3_8_M.1.1	Smart-seq2	1876366	3119	FB_adventitial
lung_SmartSeq2_Smart-seq2_H21.MAA000530.3_8_M.1.1	Smart-seq2	452758	1445	Bcell
